policy_id,attack_id,attack_type,category,severity,attack_applied,poisoned_hash
ADM-PSC-003,"ATT-0194,ATT-0205,ATT-0190,ATT-0202,ATT-0195","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Medium,Medium,Critical,Medium,Medium",True,facfd0a8f502fa0c3c4a26586a768cd81fca2ef1adba7e87e5ca9552743a2fb9
ADM-PSC-004,"ATT-0219,ATT-0188,ATT-0187,ATT-0158","Visitor_Management,Visitor_Management,Visitor_Management,Email_Security","Visitor_Management,Visitor_Management,Visitor_Management,Email_Security","Medium,Critical,Critical,High",True,692ca2af5a728e760546c9ca0052c7126745f06a569874e69cf52890f8c994df
ADM-PSC-005,"ATT-0204,ATT-0203,ATT-0187","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","Medium,Medium,Critical",True,38bebccdcae79d74e3d63afe5378e865e4d810164a2abac48c1ef5caa03a2a2a
ADM-PSC-006,"ATT-0054,ATT-0055,ATT-0156","Password_Management,Password_Management,Email_Security","Password_Management,Password_Management,Email_Security","High,High,High",True,696f0223a8d9c8249dfa8cc51e21647c2ed90d8f103221238210c5415ea5f86d
ADM-PSC-007,"ATT-0197,ATT-0200,ATT-0187,ATT-0230,ATT-0227","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,High,Critical,Critical,Critical",True,eb1003e40066cb98940ae59a2bb2af383e31252619bb000c302dfd8319d72230
ADM-PSC-008,"ATT-0210,ATT-0357,ATT-0194,ATT-0186,ATT-0189","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management,Visitor_Management","High,High,Medium,Critical,Critical",True,31e4e928059a0d831acf8173f8f0e7f58a6d9232079d1063ac6d315845674b4d
ADM-PSC-009,"ATT-0225,ATT-0204,ATT-0223,ATT-0190,ATT-0221","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,Medium,High,Critical,High",True,59289133c00507a0cd7602d11bfbb34a3dc0297690b593a1c86c1094834f5673
ADM-PSC-010,"ATT-0192,ATT-0195,ATT-0197,ATT-0193","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Medium,Medium,High,Medium",True,fda3f8998710bbf61b10c420529d9fb0eed75a2b4e42622258eb1f21bc4a673a
ADM-PSC-011,"ATT-0196,ATT-0222,ATT-0224,ATT-0200","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,High,High,High",True,b77e58e9b0aa602b158d8fd7478cd969cdf1911d12e796af0a27b31023aeea44
ADM-PSC-012,"ATT-0216,ATT-0357,ATT-0209,ATT-0220,ATT-0217","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management,Visitor_Management","Medium,High,High,Medium,Medium",True,ea374325cffcd8dab1ca8146b511181b03406c1d2a5639fe298c5f8d96b9d434
ADM-PSC-013,"ATT-0196,ATT-0223,ATT-0193","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","High,High,Medium",True,7277f3ad87cf664b77ce6aafefa46c22b11474045a5de50dfd35f0117f484fe8
ADM-PSC-014,"ATT-0357,ATT-0191,ATT-0226,ATT-0356,ATT-0359","Incident_Response,Visitor_Management,Visitor_Management,Incident_Response,Incident_Response","Incident_Response,Visitor_Management,Visitor_Management,Incident_Response,Incident_Response","High,Medium,Critical,High,High",True,60b997e8d34a0a3fa4eee6fae73e7b4b27022b2e30f4c5c095c5d1bee6a17af6
ADM-PSC-015,"ATT-0207,ATT-0195,ATT-0193","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","High,Medium,Medium",True,5d6f6d31c404a4ea65a9060ab8a3b1ba888a4de64570f8a00ce4101112132020
ADM-PSC-016,"ATT-0194,ATT-0200,ATT-0192","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","Medium,High,Medium",True,bc65899cd28f1225900fcb77fb7d5a3226348dfed0890293b9e3b35e3e22cb21
ADM-PSC-017,"ATT-0227,ATT-0203,ATT-0197","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","Critical,Medium,High",True,194af717f627f9eea6cc45628b66ab58576df61469017fa36efc5cb86a103ccc
ADM-PSC-018,"ATT-0055,ATT-0220,ATT-0216,ATT-0156,ATT-0159","Password_Management,Visitor_Management,Visitor_Management,Email_Security,Email_Security","Password_Management,Visitor_Management,Visitor_Management,Email_Security,Email_Security","High,Medium,Medium,High,High",True,acb5b73dfc0ed7e3addeeda5a469c467258a7538971039c8bcef36015fb7983a
ADM-PSC-019,"ATT-0224,ATT-0220,ATT-0217,ATT-0214,ATT-0219","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,Medium,Medium,Critical,Medium",True,55b7b62feb6e56e4980caf3eca831b066948ee45c455992ca159c75c75021b1e
ADM-PSC-020,"ATT-0212,ATT-0189,ATT-0215,ATT-0190,ATT-0202","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Critical,Critical,Critical,Critical,Medium",True,83839bb583a340df51950267863406f8452f75bf0f788ed9a9967b313933cdb5
ADM-PSC-021,"ATT-0221,ATT-0216,ATT-0218,ATT-0219,ATT-0223","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,Medium,Medium,Medium,High",True,5b845e0829786edf62a99ae217ad6f7225203d1620871ec6f801ab3dc70c3d8e
ADM-PSC-022,"ATT-0189,ATT-0230,ATT-0187","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","Critical,Critical,Critical",True,64224a17a1235857c0c4bb21c2a753f892cf324480580a9e1e68f11bf05a241c
ADM-PSC-023,"ATT-0186,ATT-0225,ATT-0224,ATT-0189","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Critical,High,High,Critical",True,22717a544df3c9168b351488434d4d4fc915610ccdeae823fc011ef45a8fd789
ADM-PSC-024,"ATT-0199,ATT-0196,ATT-0197,ATT-0222,ATT-0221","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,High,High,High,High",True,46621574596fb985833cda77b7e448314bda1a9a82dd45cca8cec61f4c242979
ADM-PSC-025,"ATT-0199,ATT-0197,ATT-0196","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","High,High,High",True,f74e98fbb746dd96d5b620b45e09f5a4775db51ed552737ebc657f362f580fd0
ADM-VIS-001,"ATT-0208,ATT-0357,ATT-0218,ATT-0219","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management","High,High,Medium,Medium",True,b95601afc1c61212351a612bdea06d1f7475ff035bba1ac017e22a898de9ebc9
ADM-VIS-002,"ATT-0356,ATT-0227,ATT-0358,ATT-0210,ATT-0360","Incident_Response,Visitor_Management,Incident_Response,Visitor_Management,Incident_Response","Incident_Response,Visitor_Management,Incident_Response,Visitor_Management,Incident_Response","High,Critical,High,High,High",True,f54f83f8227ecc70d4073e0e0f13621346a66278399a6cb0e3110dac54bd51e0
ADM-VIS-003,"ATT-0243,ATT-0223,ATT-0245","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","High,High,High",True,f2ec6b77329a5693d9ee524fe5988d6bc906d8c50821624333ac5c8c4a3af4ae
ADM-VIS-004,"ATT-0189,ATT-0187,ATT-0239,ATT-0236","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Critical,Critical,Medium,Medium",True,df50c1defa78c162da8851cc7ea0f07b70efd9ece043f30bd9c7303365bcfda6
ADM-VIS-005,"ATT-0196,ATT-0197,ATT-0204,ATT-0198","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,High,Medium,High",True,b24d1a23c4fa13223282777860f7ed6c66f0358a9ffc061ada1af8542dc2fa0f
ADM-VIS-006,"ATT-0221,ATT-0241,ATT-0244,ATT-0243,ATT-0222","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,High,High,High,High",True,bd5f51e1affceae97c5d220e86d2dff4ad86446ef8ef39b5625e0da9ff4296d4
ADM-VIS-007,"ATT-0218,ATT-0216,ATT-0194","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","Medium,Medium,Medium",True,7949600bf2940218f979d7cc310b6c32de2b032c8b53241b9cc3961cb6eda528
ADM-VIS-008,"ATT-0199,ATT-0240,ATT-0204","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","High,Medium,Medium",True,a227c6fd77c294007dfa5afa69ec2c7d13ef7a766640963e5c3e2c2a67bcd481
ADM-VIS-009,"ATT-0055,ATT-0209,ATT-0156,ATT-0159","Password_Management,Visitor_Management,Email_Security,Email_Security","Password_Management,Visitor_Management,Email_Security,Email_Security","High,High,High,High",True,ad96764e1ef280de4348d7b338d97cd98b5401f4dec271b802a454f02592491a
ADM-VIS-010,"ATT-0158,ATT-0053,ATT-0230,ATT-0054","Email_Security,Password_Management,Visitor_Management,Password_Management","Email_Security,Password_Management,Visitor_Management,Password_Management","High,High,Critical,High",True,5dc51c55b1d5239ba67340d28e0e90e0a985dd170ac7046415098132af7b8ce9
ADM-VIS-011,"ATT-0358,ATT-0186,ATT-0188","Incident_Response,Visitor_Management,Visitor_Management","Incident_Response,Visitor_Management,Visitor_Management","High,Critical,Critical",True,7b1502ca4cc41735f31f0da36b718f64f95b99f94905c050ca99ca117e669cac
ADM-VIS-012,"ATT-0228,ATT-0232,ATT-0233","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","Critical,High,High",True,efa769b11e8307f7c039b301bec33c2e228a4ebba2418469c605ff855a567b89
ADM-VIS-013,"ATT-0207,ATT-0223,ATT-0187,ATT-0206","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,High,Critical,High",True,1a5243b8d67b72d8868b54417bbb749d5fa9e8a413a789618633df98a80d99cb
ADM-VIS-014,"ATT-0191,ATT-0197,ATT-0195,ATT-0198","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Medium,High,Medium,High",True,825e1f908573c3e655f1d1460342369fbb1236639c07d000b45596fe9fd028b0
ADM-VIS-015,"ATT-0224,ATT-0228,ATT-0226,ATT-0055","Visitor_Management,Visitor_Management,Visitor_Management,Password_Management","Visitor_Management,Visitor_Management,Visitor_Management,Password_Management","High,Critical,Critical,High",True,4d1157e0cdb9bb60a54649c7c316c024e5c7a2289474eb05905294227b5bb961
ADM-VIS-016,"ATT-0210,ATT-0207,ATT-0192","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","High,High,Medium",True,7c962af2a9298a1b505dba21730ac5a8a0936fac00d27cd4b1e562c518aae962
ADM-VIS-017,"ATT-0222,ATT-0214,ATT-0201,ATT-0225,ATT-0211","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,Critical,Medium,High,Critical",True,bdb9e57fb0c287379a40d28caee161474b3dc7e2354f90975d2bba708aacc034
ADM-VIS-018,"ATT-0191,ATT-0220,ATT-0218","Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management","Medium,Medium,Medium",True,3cb994c3cea8a3901a82b5d16a285b50bc13ddd26dc0dbc009bfaa85b9074492
ADM-VIS-019,"ATT-0230,ATT-0229,ATT-0224,ATT-0198,ATT-0196","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Critical,Critical,High,High,High",True,c3d3893a15c6d6ac5bddbd5d80dbcfd0c42d6259ffb4606fc7aa3c1dcb3828d4
ADM-VIS-020,"ATT-0208,ATT-0211,ATT-0360,ATT-0358,ATT-0213","Visitor_Management,Visitor_Management,Incident_Response,Incident_Response,Visitor_Management","Visitor_Management,Visitor_Management,Incident_Response,Incident_Response,Visitor_Management","High,Critical,High,High,Critical",True,881c92408bb2ab419e70fb79a13ad7231c2e41bb7ade0ba96f0cb6a15f5ea609
ADM-VIS-021,"ATT-0209,ATT-0359,ATT-0213,ATT-0207","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management","Visitor_Management,Incident_Response,Visitor_Management,Visitor_Management","High,High,Critical,High",True,2cf7af5fa84a0e9e9b3605862dc527575916fc63ffe70ad8abb1a0f2a3d2eb5b
ADM-VIS-022,"ATT-0192,ATT-0202,ATT-0241,ATT-0205,ATT-0242","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Medium,Medium,High,Medium,High",True,daad42dbbb9d918091b24f22db447b7d1d6655618e58130dd6c16c21257b75d1
ADM-VIS-023,"ATT-0196,ATT-0190,ATT-0189,ATT-0216,ATT-0220","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management,Visitor_Management","High,Critical,Critical,Medium,Medium",True,71b13551d3a83f064ade3b51066e114e0eb224b25f0ed291e4d85dbf8ce1ce7c
ADM-VIS-024,"ATT-0159,ATT-0188,ATT-0055","Email_Security,Visitor_Management,Password_Management","Email_Security,Visitor_Management,Password_Management","High,Critical,High",True,9430a287efad72d5c5725637f77737c23f9906d5a06dd076fb93b79f94251d3d
ADM-VIS-025,"ATT-0356,ATT-0160,ATT-0210,ATT-0206,ATT-0360","Incident_Response,Email_Security,Visitor_Management,Visitor_Management,Incident_Response","Incident_Response,Email_Security,Visitor_Management,Visitor_Management,Incident_Response","High,High,High,High,High",True,7dc15ee7d4aca88375c99a60812d9bf121516444cc016c94095ec4ecb5a2712c
CSP-COM-001,"ATT-0331,ATT-0348,ATT-0350","Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication","High,Critical,Critical",True,f6f4871920b04ac0a635d382c716d2021a844ce63b0ad58c9d59c839a5016abe
CSP-COM-002,"ATT-0332,ATT-0350,ATT-0339,ATT-0334,ATT-0348","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","High,Critical,Medium,High,Critical",True,9de3e610c76dafeb89ca9b870b83814e79089a7f320e790384fdc05323d61e25
CSP-COM-003,"ATT-0343,ATT-0346,ATT-0342,ATT-0344","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","High,Critical,High,High",True,eb2395a338294f9c31eb505deb9b86f22841e43c4cf0d14463f56276b1ecdbad
CSP-COM-004,"ATT-0335,ATT-0333,ATT-0338,ATT-0339","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","High,High,Medium,Medium",True,f1aa8e0dec83212db957fa49869e0d7a1bde34e33a79d122aa50324f690ad4b0
CSP-COM-005,"ATT-0335,ATT-0345,ATT-0348,ATT-0346,ATT-0344","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","High,High,Critical,Critical,High",True,e3bed635850bd6b38b75fc6a53db0b38011e0032b1868156ceefacf1b80ab705
CSP-COM-006,"ATT-0351,ATT-0354,ATT-0349","Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication","Medium,Medium,Critical",True,7abaf4f691d6f0601d096280d84f80a92a3127588ee3fe045d734a09a7ebc458
CSP-COM-007,"ATT-0350,ATT-0346,ATT-0337,ATT-0338","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Critical,Critical,Medium,Medium",True,edc6766d44974c2fbffcb715d5e7bd43e64554e95586dddeead62202742f812b
CSP-COM-008,"ATT-0337,ATT-0355,ATT-0352,ATT-0344","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Medium,Medium,Medium,High",True,383a7282011a1557dd1feae66983ca09f9c024207e4662c901151a79a6629a40
CSP-COM-009,"ATT-0335,ATT-0355,ATT-0345","Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication","High,Medium,High",True,a8ea33cd70c7899351894ab2864d08cec619b447a743f7ea2954778067edf6b5
CSP-COM-010,"ATT-0347,ATT-0341,ATT-0334","Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication","Critical,High,High",True,0113c050a38538026ea8fdd16d1d97e7bc3d8bfa4e48e67c74145ac90c680ae2
CSP-COM-011,"ATT-0346,ATT-0349,ATT-0335,ATT-0339,ATT-0338","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Critical,Critical,High,Medium,Medium",True,7661bbf0b30a5234f0e53d02a3d13ae7313ec3d3b6c9c9babea303980434da6c
CSP-COM-012,"ATT-0355,ATT-0354,ATT-0336,ATT-0337","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Medium,Medium,Medium,Medium",True,f92b583fa90bd8581b8c482ecc8d0fbe5c473c04700acc579a089c3941c1d177
CSP-COM-013,"ATT-0347,ATT-0354,ATT-0340,ATT-0336,ATT-0352","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication,Customer_Communication","Critical,Medium,Medium,Medium,Medium",True,57686ccf2df05da499b4d943f7376809f775e0037d20706ab214614d25fea661
